,make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
0,Suzuki,Margalla,1997,"165,000 km",Petrol,1300 cc,Manual,Lahore,750000.0
1,Suzuki,Swift,2019,"76,000 km",Petrol,1300 cc,Manual,Lahore,2475000.0
2,Toyota,Hilux,2015,"48,000 km",Diesel,3000 cc,Automatic,Islamabad,8500000.0
3,,,2024,"5,599 km",Petrol,1600 cc,Automatic,Lahore,6200000.0
4,,,2018,"46,399 km",Petrol,1300 cc,Manual,Karachi,1550000.0
5,Daihatsu,Mira,2021,"13,000 km",Petrol,660 cc,Automatic,Karachi,3450000.0
6,Daihatsu,Mira,2022,"9,000 km",Petrol,660 cc,Automatic,Karachi,3575000.0
7,Daihatsu,Mira,2022,"8,900 km",Petrol,660 cc,Automatic,Karachi,3575000.0
8,Toyota,Passo,2018,"73,000 km",Petrol,1000 cc,Automatic,Karachi,3275000.0
9,Daihatsu,Mira,2021,"12,800 km",Petrol,660 cc,Automatic,Karachi,3475000.0
10,Suzuki,Alto,2022,"17,000 km",Hybrid,660 cc,Automatic,Islamabad,3950000.0
11,Suzuki,Swift,2024,"36,000 km",Petrol,1200 cc,Automatic,Islamabad,5050000.0
12,Honda,N Box,2021,"100,000 km",Petrol,660 cc,Automatic,Islamabad,3650000.0
13,Toyota,Corolla,2010,"100,000 km",Petrol,1300 cc,Manual,Lala musa,2050000.0
14,Suzuki,Mehran,1989,"100,000 km",Petrol,800 cc,Manual,Layyah,390000.0
15,Toyota,Corolla,2020,"200,000 km",Hybrid,1800 cc,Automatic,Lahore,8500000.0
16,Suzuki,Alto,2020,"87,000 km",Petrol,660 cc,Manual,Rawalpindi,2050000.0
17,Toyota,Vitz,2014,"87,000 km",Petrol,1000 cc,Automatic,Karachi,2730000.0
18,Toyota,Hilux,2004,"239,000 km",Diesel,3000 cc,Manual,Karachi,4945000.0
19,Suzuki,Mehran,2011,"25,000 km",Petrol,800 cc,Manual,Islamabad,680000.0
20,Toyota,Surf,1996,"190,000 km",Petrol,3000 cc,Automatic,Peshawar,3550000.0
21,Mitsubishi,Pajero,1985,"200,000 km",Diesel,2500 cc,Manual,Rawalpindi,1900000.0
