make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
Toyota,Noah G,2015,85000,Hybrid,1800,Automatic,Lahore,6200000.0
KIA,Sportage FWD,2021,35000,Petrol,2000,Automatic,Sialkot,7450000.0
Toyota,Prado TX L Package 2.7,2018,55000,Petrol,2700,Automatic,Lahore,26500000.0
Toyota,Raize Z,2020,37000,Petrol,1000,Automatic,Karachi,5700000.0
Mercedes,Benz E Class 5th (W213) Generation E 180 AMG,2022,11000,Petrol,1500,Automatic,Lahore,35900000.0
Nissan,Dayz S,2021,34000,Petrol,660,Automatic,Karachi,3325000.0
Nissan,Kix,2009,150000,Petrol,660,Automatic,Karachi,1920000.0
Suzuki,Alto S Package,2021,2800,Petrol,660,Automatic,Karachi,3750000.0
Suzuki,Alto L,2021,10000,Petrol,660,Automatic,Karachi,3500000.0
Haval,Jolion HEV,2024,2100,Hybrid,1500,Automatic,Rawalpindi,9750000.0
Toyota,Land Cruiser VX Limited 4.5,1996,209000,Petrol,4500,Automatic,Karachi,5199005.790697674
Toyota,Corolla Altis Automatic 1.6,2020,78338,Petrol,1600,Automatic,Gujrat,5760000.0
Toyota,Vitz F 1.0,2017,68000,Petrol,1000,Automatic,Islamabad,3800000.0
Toyota,Belta G 1.3,2007,103000,Petrol,1300,Automatic,Karachi,2350000.0
Toyota,Corolla GLi 1.3 VVTi,2016,78000,Petrol,1300,Manual,Rawalpindi,4000000.0
Honda,Civic 11th Generation RS,2025,2100,Petrol,1500,Automatic,Islamabad,10400000.0
Suzuki,Mehran VX Euro II,2017,12,Petrol,796,Manual,Gujar Khan,1450000.0
Suzuki,Bolan,2018,31000,Petrol,15000,Manual,Rawalpindi,1620000.0
Jeep,CJ 5,1970,190,Diesel,2000,Manual,Multan,1900000.0
Suzuki,Khyber Limited Edition,1999,85647,Petrol,1000,Manual,Karachi,465000.0
Suzuki,Bolan VX Euro II,2017,55281,Petrol,800,Manual,Dadyal Ak,1700000.0
Toyota,Vitz F 1.0,2015,142000,Petrol,1000,Automatic,Peshawar,2950000.0
Changan,Alsvin 1.3L MT Comfort,2022,30100,Petrol,1300,Manual,Karachi,3329999.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2017,68000,Petrol,1800,Automatic,Sahiwal,4790000.0
Suzuki,Bolan VX Euro II,2023,33000,Petrol,800,Manual,Lahore,2200000.0
Hyundai,Sonata 2.5,2022,31000,Petrol,2500,Automatic,Lahore,8000000.0
Daihatsu,Charade CL,1998,78600,Petrol,1600,Manual,Faisalabad,780000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2018,68000,Petrol,1800,Automatic,Karachi,4950000.0
Suzuki,Cultus Limited Edition,2016,37000,Petrol,1000,Manual,Karachi,1830000.0
Daihatsu,Hijet Special,2016,90000,Petrol,660,Automatic,Karachi,1565000.0
Honda,Civic VTi Oriel Prosmatec 1.8 i-VTEC,2015,112500,Petrol,1800,Automatic,Karachi,3950000.0
Toyota,Yaris Hatchback,2021,55000,Petrol,1000,Automatic,Bahawalpur,4650000.0
Suzuki,Wagon R FX Limited,2014,88000,Petrol,660,Automatic,Lahore,2295000.0
Mercedes,Benz SLK Class SLK200 Kompressor,2008,64000,Petrol,1800,Automatic,Lahore,7250000.0
Honda,Vezel Hybrid Z Honda Sensing,2018,34000,Hybrid,1500,Automatic,Lahore,7500000.0
Audi,e-tron GT Standard,2022,13500,Electric,93,Automatic,Lahore,35500000.0
Toyota,Prado TX 2.7,2020,28000,Petrol,2700,Automatic,Gujranwala,27000000.0
Daihatsu,Mira ES,2016,80000,Petrol,660,Automatic,Lahore,2295000.0
Daihatsu,Move Custom G,2013,80000,Petrol,660,Automatic,Lahore,2095000.0
Honda,Vezel Hybrid Z Honda Sensing,2017,65000,Hybrid,1500,Automatic,Karachi,6625000.0
Honda,City 1.3 i-VTEC,2015,127000,Petrol,1300,Manual,Rawalpindi,3300000.0
Daihatsu,Cuore CL Eco,2008,130000,Petrol,800,Manual,Mirpur A.K.,1095000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2020,54000,Petrol,1800,Automatic,Faisalabad,5500000.0
Suzuki,Cultus Limited Edition,2016,85000,Petrol,1000,Manual,Karachi,1545000.0
Changan,Alsvin 1.5L DCT Comfort,2022,34865,Petrol,1500,Automatic,Lahore,3560000.0
Honda,Civic Reborn VTi Oriel 1.8 i-VTEC,2007,111000,Petrol,1800,Manual,Karachi,2200000.0
Suzuki,Alto,2019,40000,Petrol,660,Automatic,Karachi,2530000.0
Suzuki,Alto VXR,2009,459999,Petrol,1000,Manual,Karachi,770000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2019,120000,Petrol,1800,Automatic,Lahore,5250000.0
Toyota,Belta X 1.0,2006,86700,Petrol,1000,Automatic,Lahore,2375000.0
Haval,Jolion HEV,2024,2100,Hybrid,1500,Automatic,Rawalpindi,9750000.0
Honda,City i-DSI Vario,2007,184000,Petrol,1300,Automatic,Lahore,2000000.0
Honda,City i-VTEC,2010,255000,Petrol,1300,Manual,Rawalpindi,2850000.0
Adam,Revo,2022,18823,Diesel,2800,Automatic,Karachi,14000000.0
Nissan,Sunny EX Saloon 1.6,2005,140000,Petrol,1600,Manual,Faisalabad,1400000.0
Suzuki,Alto VXL AGS,2021,59500,Petrol,660,Automatic,Lahore,2695000.0
Toyota,Land Cruiser VX Limited 4.5,1996,209000,Petrol,4500,Automatic,Karachi,5199005.790697674
Toyota,Corolla GLi 1.3 VVTi,2014,91000,Petrol,1300,Manual,Sadiqabad,2980000.0
Toyota,Corolla Altis Automatic 1.6,2020,78338,Petrol,1600,Automatic,Gujrat,5760000.0
Honda,Fit 1.3 Hybrid 10th Anniversary,2010,180000,Hybrid,1300,Automatic,Lahore,2535000.0
Daihatsu,Mira G Smart Drive Package,2014,90000,Petrol,660,Automatic,Karachi,2550000.0
Honda,City i-DSI,2008,200000,Petrol,1300,Manual,Lahore,2000000.0
Toyota,Corolla Altis Cruisetronic 1.8,2009,153000,Petrol,1800,Automatic,Faisalabad,2875000.0
Toyota,Corolla Altis 1.6 X CVT-i,2024,20000,Petrol,1600,Automatic,Lahore,6480000.0
Subaru,Pleo,2023,8500,Petrol,660,Automatic,Islamabad,3699000.0
Suzuki,Wagon R Custom Z Hybrid ZT,2021,74000,Hybrid,660,Automatic,Rahwali,2925000.0
Daihatsu,Mira L,2013,114000,Petrol,660,Automatic,Karachi,2180000.0
Mitsubishi,Mirage 1.0 G,2012,137000,Petrol,1000,Automatic,Karachi,2050000.0
Toyota,Raize G,2020,11000,Petrol,1000,Automatic,Lahore,5400000.0
Toyota,Yaris Hatchback X,2022,52000,Petrol,1000,Automatic,Karachi,4360000.0
Toyota,Corolla GLi Automatic 1.3 VVTi,2018,43000,Petrol,1300,Automatic,Sargodha,4790000.0
Mitsubishi,EK X,2022,29000,Electric,25,Automatic,Islamabad,4850000.0
Tesla,Model 3 Long Range,2021,38000,Electric,75,Automatic,Islamabad,15500000.0
Daihatsu,Mira X SA lll,2022,2000,Petrol,660,Automatic,Karachi,3700000.0
Toyota,Passo X,2022,9000,Petrol,1000,Automatic,Karachi,4110000.0
Toyota,Corolla GLi Automatic 1.3 VVTi,2016,100000,Petrol,1300,Automatic,Karachi,3600000.0
KIA,Sportage AWD,2022,32000,Petrol,2000,Automatic,Karachi,7300000.0
Honda,Civic VTi Oriel Prosmatec 1.8 i-VTEC,2015,112500,Petrol,1800,Automatic,Karachi,3950000.0
Suzuki,Mehran VX (CNG),2005,100000,Petrol,800,Manual,Rawalpindi,685000.0
Toyota,Aqua S,2020,36000,Hybrid,1500,Automatic,Lahore,5825000.0
Suzuki,Mehran VX Euro II,2015,50000,Petrol,800,Manual,Karachi,1019999.0
Honda,City 5th (GM2) Generation Aspire 1.3 i-VTEC,2018,100000,Petrol,1300,Manual,Rawalpindi,3550000.0
Toyota,Corolla GLi 1.3 VVTi,2011,95000,Petrol,1300,Manual,Lahore,2265000.0
Suzuki,Mehran VXR (CNG),2012,110000,Petrol,800,Manual,Karachi,790000.0
Toyota,Corolla SE Limited,1988,140000,Petrol,1500,Manual,Chowha saidan shah,780000.0
Toyota,Yaris Hatchback,2021,55000,Petrol,1000,Automatic,Bahawalpur,4650000.0
Toyota,Corolla 8th (E110) Generation GLi 1.6,2001,250000,Petrol,1600,Manual,Karachi,1490000.0
Honda,City i-DSI Vario,2006,145000,Petrol,1300,Automatic,Lahore,2200000.0
Suzuki,Wagon R FX Limited,2014,88000,Petrol,660,Automatic,Lahore,2295000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2018,85000,Petrol,1800,Automatic,Multan,5300000.0
Honda,N Wgn G Turbo,2018,156096,Petrol,660,Automatic,Lahore,2825000.0
Suzuki,Alto VXR,2019,35000,Petrol,660,Manual,Karachi,2305000.0
Mercedes,Benz SLK Class SLK200 Kompressor,2008,64000,Petrol,1800,Automatic,Lahore,7250000.0
Honda,Vezel Hybrid Z Honda Sensing,2018,34000,Hybrid,1500,Automatic,Lahore,7500000.0
KIA,Sportage AWD,2021,70000,Petrol,2000,Automatic,Karachi,6700000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2017,63500,Petrol,1800,Automatic,Karachi,4775000.0
Suzuki,Cultus Auto Gear Shift,2019,81000,Petrol,1000,Automatic,Sheikhupura,3050000.0
Toyota,Hilux Revo Rocco,2023,29500,Diesel,2800,Automatic,Wazirabad,14000000.0
Suzuki,Mehran VXR Euro II,2013,112000,Petrol,796,Manual,Karachi,900000.0
Hyundai,Santro Club GV,2006,148000,Petrol,1100,Manual,Layyah,930000.0
Toyota,Vitz B S Edition 1.0,2008,125000,Petrol,1000,Automatic,Islamabad,1950000.0
Suzuki,Hustler J Style II,2022,24000,Hybrid,660,Automatic,Islamabad,3800000.0
Suzuki,Bolan Cargo Van Euro ll,2018,70000,Petrol,800,Manual,Lahore,1490000.0
Suzuki,Alto VXR,2024,8500,Petrol,660,Manual,Lahore,2850000.0
Honda,Civic 7th Generation (Facelift) EXi Prosmatec,2005,55000,Petrol,1500,Automatic,Lahore,3200000.0
Toyota,Prado TX L Package 2.7,2020,38000,Petrol,2700,Automatic,Karachi,33000000.0
Toyota,Passo X L Package,2014,125000,Petrol,1000,Automatic,Lahore,2725000.0
Toyota,Corolla GLi Automatic 1.3 VVTi,2018,80000,Petrol,1300,Automatic,Gujranwala,4200000.0
Toyota,Corolla GLi Automatic 1.3 VVTi,2015,122000,Petrol,1300,Automatic,Lahore,3850000.0
Toyota,Prado TX Limited 2.7,2012,71000,Petrol,2700,Automatic,Lahore,17000000.0
Suzuki,Mehran VXR,2009,43974,Petrol,800,Manual,Karachi,750000.0
Suzuki,Alto VXL AGS,2023,16300,Petrol,660,Automatic,Lahore,2975000.0
Audi,e-tron GT Standard,2022,13500,Electric,93,Automatic,Lahore,35500000.0
Toyota,Vitz,2015,92000,Petrol,1000,Automatic,Karachi,2800000.0
Suzuki,Mehran VXR,2008,80000,Petrol,800,Manual,Lahore,640000.0
